country,raw_table,source_entity_code,source_entity_name,row_count,canonical_entity_name,notes
AR,ar_raw_solvencia,,AFIANZADORA,8,Afianzadora Latinoamericana,
AR,ar_raw_balance,755,AFIANZADORA LATINOAMERICANA COMPAÑÍA DE SEGUROS S.A.,7201,Afianzadora Latinoamericana,
AR,ar_raw_solvencia,,AGROSALTA,1,Agrosalta,
AR,ar_raw_balance,389,AGROSALTA COOPERATIVA DE SEGUROS LIMITADA,24184,Agrosalta,
AR,ar_raw_solvencia,,ALBA,8,Alba,
AR,ar_raw_balance,329,ALBA COMPAÑÍA ARGENTINA DE SEGUROS SOCIEDAD ANONIMA,21346,Alba,
AR,ar_raw_solvencia,,ALLIANZ,8,Allianz Argentina,
AR,ar_raw_balance,36,ALLIANZ ARGENTINA COMPAÑIA DE SEGUROS S.A.,78974,Allianz Argentina,
AR,ar_raw_solvencia,,ANDINA ART,5,Andina ART,
AR,ar_raw_balance,959,ANDINA ART S.A.,3399,Andina ART,
AR,ar_raw_balance,246,ANTARTIDA COMPAÑÍA ARGENTINA DE SEGUROS SOCIEDAD ANÓNIMA,84066,Antártida,
AR,ar_raw_solvencia,,ANTICIPAR,8,Anticipar,
AR,ar_raw_balance,844,ANTICIPAR COMPAÑÍA DE SEGUROS S.A.,16101,Anticipar,
AR,ar_raw_solvencia,,ANTÁRTIDA,8,Antártida,
AR,ar_raw_solvencia,,ARGOS,7,Argos,
AR,ar_raw_balance,241,ARGOS COMPAÑÍA ARGENTINA DE SEGUROS GENERALES SOCIEDAD ANÓNIMA,43463,Argos,
AR,ar_raw_solvencia,,ARGOS MUTUAL,8,Argos,
AR,ar_raw_balance,680,ARGOS MUTUAL DE SEGUROS DEL TRANSPORTE PÚBLICO DE PASAJEROS,21055,Argos,
AR,ar_raw_balance,962,ART MUTUAL DE EMPLEADOS MECANICOS Y AFINES DEL TRANSPORTE AUTOMOTOR SAN FRANCISCO,7511,ART Mutual San Francisco,
AR,ar_raw_solvencia,,ART MUTUAL RURAL,5,ART Mutual Rural,
AR,ar_raw_balance,932,ART MUTUAL RURAL DE SEGUROS DE RIESGOS DEL TRABAJO,17548,ART Mutual Rural,
AR,ar_raw_solvencia,,ART MUTUAL SAN FRANCISCO,3,ART Mutual San Francisco,
AR,ar_raw_solvencia,,ASEGURADORA DE BIENES Y SERVICIOS,6,Aseguradora de Bienes y Servicios,
AR,ar_raw_balance,937,ASEGURADORA DE BIENES Y SERVICIOS S.A.,1975,Aseguradora de Bienes y Servicios,
AR,ar_raw_balance,297,ASEGURADORA DE CREDITOS Y GARANTIAS SOCIEDAD ANONIMA,8021,Aseguradora de Créditos y Garantías,
AR,ar_raw_balance,857,ASEGURADORA DEL FINISTERRE COMPAÑÍA ARGENTINA DE SEGUROS S.A.,32504,Finisterre,
AR,ar_raw_solvencia,,ASEGURADORA DEL SUR,8,Aseguradora del Sur,
AR,ar_raw_balance,812,ASEGURADORA TOTAL MOTOVEHICULAR S.A.,944,ATM,
AR,ar_raw_solvencia,,ASEGURADORES DE CAUCIONES,8,Aseguradores de Cauciones,
AR,ar_raw_balance,415,ASEGURADORES DE CAUCIONES SOCIEDAD ANONIMA COMPAÑIA DE SEGUROS,52031,Aseguradores de Cauciones,
AR,ar_raw_balance,199,ASOCIACION MUTUAL DAN,25293,Asociación Mutual Dan,
AR,ar_raw_solvencia,,ASOCIACIÓN MUTUAL DAN,2,Asociación Mutual Dan,
AR,ar_raw_solvencia,,ASOCIART ART,8,Asociart ART,
AR,ar_raw_balance,620,ASOCIART S.A. ASEGURADORA DE RIESGOS DEL TRABAJO,22195,Asociart ART,
AR,ar_raw_solvencia,,ASSEKURANSA,8,Assekuransa,
AR,ar_raw_balance,771,ASSEKURANSA COMPAÑÍA DE SEGUROS SOCIEDAD ANÓNIMA,14176,Assekuransa,
AR,ar_raw_solvencia,,ASSURANT,8,Assurant Argentina,
AR,ar_raw_balance,209,ASSURANT ARGENTINA COMPAÑÍA DE SEGUROS SOCIEDAD ANÓNIMA,37046,Assurant Argentina,
AR,ar_raw_solvencia,,ASV,8,ASV,
AR,ar_raw_balance,540,"ASV ARGENTINA SALUD, VIDA Y PATRIMONIALES COMPAÑIA DE SEGUROS S.A.",43207,ASV,
AR,ar_raw_solvencia,,ATM,8,ATM,
AR,ar_raw_balance,812,ATM COMPAÑÍA DE SEGUROS S.A.,48173,ATM,
AR,ar_raw_solvencia,,AURORA,1,Aurora Argentina,
AR,ar_raw_solvencia,,BARBUSS,1,Barbuss Argentina,
AR,ar_raw_solvencia,,BBVA CONSOLIDAR,2,BBVA Seguros Argentina,
AR,ar_raw_balance,396,BBVA CONSOLIDAR SEGUROS S.A.,7163,BBVA Seguros Argentina,
AR,ar_raw_solvencia,,BBVA SEGUROS,5,BBVA Seguros Argentina,
AR,ar_raw_balance,396,BBVA SEGUROS ARGENTINA S.A.,18334,BBVA Seguros Argentina,
AR,ar_raw_solvencia,,BENEFICIO,8,Beneficio,
AR,ar_raw_balance,555,BENEFICIO S.A. COMPAÑIA DE SEGUROS,13258,Beneficio,
AR,ar_raw_solvencia,,BERKLEY,8,Berkley Argentina,
AR,ar_raw_solvencia,,BERKLEY ART,3,Berkley Argentina,
AR,ar_raw_balance,624,BERKLEY INTERNATIONAL ASEGURADORA DE RIESGOS DEL TRABAJO SOCIEDAD ANONIMA,26235,Berkley Argentina,
AR,ar_raw_balance,121,BERKLEY INTERNATIONAL SEGUROS SOCIEDAD ANONIMA,60327,Berkley Argentina,
AR,ar_raw_solvencia,,BERNARDINO RIVADAVIA,8,Seguros Bernardino Rivadavia,
AR,ar_raw_solvencia,,BHN,8,BHN,
AR,ar_raw_balance,696,BHN SEGUROS GENERALES S.A.,22482,BHN,
AR,ar_raw_solvencia,,BHN VIDA,8,BHN,
AR,ar_raw_balance,695,BHN VIDA S.A.,19204,BHN,
AR,ar_raw_solvencia,,BINARIA RETIRO,8,Binaria Seguros de Retiro,
AR,ar_raw_balance,530,BINARIA SEGUROS DE RETIRO S.A.,9982,Binaria Seguros de Retiro,
AR,ar_raw_balance,517,BINARIA SEGUROS DE VIDA S.A.,17793,Binaria Seguros de Vida,
