date,currency,usd_rate
2020-09-30,COP,3878.94
2020-09-30,PEN,3.5549
2020-09-30,UYU,42.575
2020-09-30,ARS,76.18
2020-09-30,DOP,58.4672
2020-09-30,CRC,603.565
2020-09-30,GTQ,7.786
2020-09-30,MXN,22.3649
2020-09-30,CLP,784.46
2020-12-31,COP,3432.5
2020-12-31,PEN,3.6026
2020-12-31,UYU,42.34
2020-12-31,ARS,84.15
2020-12-31,DOP,58.3259
2020-12-31,CRC,613.915
2020-12-31,GTQ,7.7938
2020-12-31,MXN,19.8973
2020-12-31,CLP,711.24
2021-03-31,COP,3736.91
2021-03-31,PEN,3.7082
2021-03-31,UYU,44.187
2021-03-31,ARS,92.0
2021-03-31,DOP,57.0614
2021-03-31,CRC,613.05
2021-03-31,GTQ,7.715
2021-03-31,MXN,20.5122
2021-03-31,CLP,732.11
2021-06-30,COP,3756.67
2021-06-30,PEN,3.9103
2021-06-30,UYU,43.577
2021-06-30,ARS,95.72
2021-06-30,DOP,57.143
2021-06-30,CRC,618.585
2021-06-30,GTQ,7.744
2021-06-30,MXN,19.8405
2021-06-30,CLP,735.28
2021-09-30,COP,3834.68
2021-09-30,PEN,4.1075
2021-09-30,UYU,42.94
2021-09-30,ARS,98.74
2021-09-30,DOP,56.4094
2021-09-30,CRC,626.475
2021-09-30,GTQ,7.7336
2021-09-30,MXN,20.506
2021-09-30,CLP,803.59
2021-12-31,COP,3981.16
2021-12-31,PEN,4.037
2021-12-31,UYU,44.695
2021-12-31,ARS,102.72
2021-12-31,DOP,57.5451
2021-12-31,CRC,642.155
2021-12-31,GTQ,7.7191
2021-12-31,MXN,20.4342
2021-12-31,CLP,850.25
2022-03-31,COP,3748.15
2022-03-31,PEN,3.7388
2022-03-31,UYU,41.115
2022-03-31,ARS,111.01
2022-03-31,DOP,55.1505
2022-03-31,CRC,663.79
2022-03-31,GTQ,7.6803
2022-03-31,MXN,19.8994
2022-03-31,CLP,787.16
2022-06-30,COP,4127.47
2022-06-30,PEN,3.7471
2022-06-30,UYU,39.863
2022-06-30,ARS,125.23
