period,currency,usd_rate_avg
2015-Q1,COP,2474.603103
2015-Q1,ARS,8.689278
2015-Q1,GTQ,7.635625
2015-Q1,UYU,24.795077
2015-Q1,CRC,535.949827
2015-Q1,DOP,44.747341
2015-Q1,PEN,3.058577
2015-Q1,MXN,14.945222
2015-Q1,CLP,624.343402
2015-Q2,COP,2496.378772
2015-Q2,ARS,8.950055
2015-Q2,GTQ,7.676154
2015-Q2,UYU,26.589077
2015-Q2,CRC,533.586986
2015-Q2,DOP,44.859027
2015-Q2,PEN,3.14388
2015-Q2,MXN,15.331135
2015-Q2,CLP,617.439741
2015-Q3,COP,2936.11871
2015-Q3,ARS,9.25087
2015-Q3,GTQ,7.662259
2015-Q3,UYU,28.341538
2015-Q3,CRC,534.593819
2015-Q3,DOP,45.143995
2015-Q3,PEN,3.21274
2015-Q3,MXN,16.438049
2015-Q3,CLP,676.661436
2015-Q4,COP,3063.230339
2015-Q4,ARS,10.230217
2015-Q4,GTQ,7.648327
2015-Q4,UYU,29.525615
2015-Q4,CRC,534.132448
2015-Q4,DOP,45.431633
2015-Q4,PEN,3.315521
2015-Q4,MXN,16.754382
2015-Q4,CLP,697.851556
2016-Q1,COP,3262.386667
2016-Q1,ARS,14.598352
2016-Q1,GTQ,7.676236
2016-Q1,UYU,31.478538
2016-Q1,CRC,536.180788
2016-Q1,DOP,45.729667
2016-Q1,PEN,3.471615
2016-Q1,MXN,18.056369
2016-Q1,CLP,702.700163
2016-Q2,COP,2992.998548
2016-Q2,ARS,14.425275
2016-Q2,GTQ,7.676095
2016-Q2,UYU,31.331385
2016-Q2,CRC,538.992192
2016-Q2,DOP,45.902876
2016-Q2,PEN,3.30906
2016-Q2,MXN,18.091146
2016-Q2,CLP,677.624914
2016-Q3,COP,2948.829839
2016-Q3,ARS,15.13913
2016-Q3,GTQ,7.555199
2016-Q3,UYU,29.259429
2016-Q3,CRC,550.351331
2016-Q3,DOP,46.0584
2016-Q3,PEN,3.338026
2016-Q3,MXN,18.73905
2016-Q3,CLP,661.69666
2016-Q4,COP,3013.710702
2016-Q4,ARS,15.661957
2016-Q4,GTQ,7.502308
2016-Q4,UYU,28.649923
2016-Q4,CRC,553.433158
2016-Q4,DOP,46.566833
2016-Q4,PEN,3.394735
2016-Q4,MXN,19.830227
2016-Q4,CLP,665.73594
2017-Q1,COP,2921.828814
2017-Q1,ARS,15.871111
2017-Q1,GTQ,7.433533
2017-Q1,UYU,28.502769
2017-Q1,CRC,558.36472
2017-Q1,DOP,47.076167
2017-Q1,PEN,3.287855
2017-Q1,MXN,20.318904
2017-Q1,CLP,655.202132
2017-Q2,COP,2920.254237
2017-Q2,ARS,15.91956
